numero_gaceta,entidad,fecha_publicacion,pagina_en_web
728,Senado de la República,2021-06-23,1
722,Senado de la República,2021-06-22,1
721,Cámara de Representantes,2021-06-21,1
720,Cámara de Representantes,2021-06-21,1
718,Senado de la República,2021-06-21,1
717,Cámara de Representantes,2021-06-21,1
716,Cámara de Representantes,2021-06-21,1
715,Cámara de Representantes,2021-06-21,1
714,Cámara de Representantes,2021-06-21,1
713,Cámara de Representantes,2021-06-21,1
712,Senado de la República,2021-06-21,2
711,Cámara de Representantes,2021-06-19,2
710,Senado de la República,2021-06-19,2
709,Cámara de Representantes,2021-06-19,2
708,Cámara de Representantes,2021-06-19,2
707,Cámara de Representantes,2021-06-19,2
706,Senado de la República,2021-06-18,2
704,Senado de la República,2021-06-18,2
702,Senado de la República,2021-06-18,2
701,Cámara de Representantes,2021-06-18,2
700,Senado de la República,2021-06-18,3
699,Senado de la República,2021-06-18,3
698,Cámara de Representantes,2021-06-18,3
697,Cámara de Representantes,2021-06-18,3
696,Senado de la República,2021-06-18,3
695,Cámara de Representantes,2021-06-18,3
694,Cámara de Representantes,2021-06-18,3
693,Senado de la República,2021-06-18,3
692,Senado de la República,2021-06-18,3
691,Senado de la República,2021-06-18,3
690,Senado de la República,2021-06-17,4
689,Cámara de Representantes,2021-06-17,4
687,Senado de la República,2021-06-17,4
686,Cámara de Representantes,2021-06-17,4
685,Cámara de Representantes,2021-06-17,4
684,Senado de la República,2021-06-17,4
683,Senado de la República,2021-06-17,4
682,Cámara de Representantes,2021-06-17,4
681,Senado de la República,2021-06-17,4
680,Cámara de Representantes,2021-06-17,4
679,Senado de la República,2021-06-17,5
678,Cámara de Representantes,2021-06-17,5
677,Senado de la República,2021-06-17,5
676,Senado de la República,2021-06-17,5
675,Senado de la República,2021-06-17,5
674,Cámara de Representantes,2021-06-17,5
673,Senado de la República,2021-06-17,5
672,Senado de la República,2021-06-17,5
671,Senado de la República,2021-06-17,5
670,Senado de la República,2021-06-17,5
669,Cámara de Representantes,2021-06-17,6
668,Senado de la República,2021-06-17,6
667,Senado de la República,2021-06-17,6
666,Cámara de Representantes,2021-06-16,6
665,Cámara de Representantes,2021-06-16,6
664,Senado de la República,2021-06-16,6
663,Senado de la República,2021-06-16,6
662,Senado de la República,2021-06-16,6
661,Cámara de Representantes,2021-06-16,6
660,Senado de la República,2021-06-16,6
659,Senado de la República,2021-06-16,7
658,Senado de la República,2021-06-16,7
657,Senado de la República,2021-06-16,7
656,Senado de la República,2021-06-16,7
655,Cámara de Representantes,2021-06-16,7
654,Cámara de Representantes,2021-06-16,7
653,Senado de la República,2021-06-16,7
652,Senado de la República,2021-06-16,7
651,Senado de la República,2021-06-16,7
650,Cámara de Representantes,2021-06-16,7
649,Senado de la República,2021-06-16,8
648,Cámara de Representantes,2021-06-15,8
647,Cámara de Representantes,2021-06-15,8
646,Senado de la República,2021-06-15,8
645,Senado de la República,2021-06-15,8
644,Senado de la República,2021-06-15,8
643,Senado de la República,2021-06-15,8
642,Senado de la República,2021-06-15,8
641,Senado de la República,2021-06-15,8
640,Cámara de Representantes,2021-06-15,8
639,Senado de la República,2021-06-15,9
638,Senado de la República,2021-06-15,9
637,Senado de la República,2021-06-15,9
636,Senado de la República,2021-06-15,9
635,Senado de la República,2021-06-15,9
634,Senado de la República,2021-06-11,9
633,Senado de la República,2021-06-11,9
632,Senado de la República,2021-06-11,9
631,Senado de la República,2021-06-11,9
630,Cámara de Representantes,2021-06-11,9
629,Cámara de Representantes,2021-06-11,10
628,Cámara de Representantes,2021-06-11,10
627,Senado de la República,2021-06-11,10
626,Cámara de Representantes,2021-06-10,10
625,Cámara de Representantes,2021-06-10,10
624,Senado de la República,2021-06-10,10
621,Senado de la República,2021-06-10,10
620,Senado de la República,2021-06-10,10
619,Senado de la República,2021-06-10,10
618,Senado de la República,2021-06-10,10
617,Cámara de Representantes,2021-06-10,11
616,Senado de la República,2021-06-10,11
615,Cámara de Representantes,2021-06-09,11
614,Senado de la República,2021-06-09,11
613,Cámara de Representantes,2021-06-09,11
612,Cámara de Representantes,2021-06-09,11
611,Cámara de Representantes,2021-06-09,11
610,Cámara de Representantes,2021-06-09,11
609,Senado de la República,2021-06-09,11
608,Senado de la República,2021-06-09,11
607,Senado de la República,2021-06-09,12
606,Cámara de Representantes,2021-06-09,12
605,Senado de la República,2021-06-09,12
604,Senado de la República,2021-06-09,12
603,Cámara de Representantes,2021-06-09,12
602,Senado de la República,2021-06-09,12
601,Senado de la República,2021-06-09,12
600,Senado de la República,2021-06-08,12
599,Senado de la República,2021-06-08,12
598,Cámara de Representantes,2021-06-08,12
597,Cámara de Representantes,2021-06-08,13
596,Senado de la República,2021-06-08,13
595,Senado de la República,2021-06-08,13
594,Senado de la República,2021-06-08,13
593,Senado de la República,2021-06-08,13
592,Senado de la República,2021-06-08,13
589,Senado de la República,2021-06-08,13
588,Senado de la República,2021-06-08,13
587,Senado de la República,2021-06-08,13
586,Senado de la República,2021-06-08,13
585,Senado de la República,2021-06-08,14
584,Cámara de Representantes,2021-06-07,14
583,Senado de la República,2021-06-05,14
582,Senado de la República,2021-06-04,14
581,Senado de la República,2021-06-04,14
580,Cámara de Representantes,2021-06-04,14
579,Cámara de Representantes,2021-06-04,14
578,Cámara de Representantes,2021-06-04,14
577,Senado de la República,2021-06-04,14
576,Cámara de Representantes,2021-06-04,14
575,Cámara de Representantes,2021-06-04,15
