numero_gaceta,entidad,fecha_publicacion,pagina_en_web,url,pagina
1,Senado de la República,2021-01-27,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_01.pdf,50
2,Senado de la República,2021-01-27,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_02.pdf,45
3,Senado de la República,2021-02-01,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_03.pdf,6
4,Senado de la República,2021-02-03,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_04.pdf,32
5,Senado de la República,2021-02-03,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_05.pdf,13
6,Cámara de Representantes,2021-02-04,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_06.pdf,38
7,Cámara de Representantes,2021-02-04,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_07.pdf,20
8,Cámara de Representantes,2021-02-08,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_08.pdf,39
9,Cámara de Representantes,2021-02-08,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_09.pdf,23
10,Cámara de Representantes,2021-02-09,71,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_10.pdf,121
11,Senado de la República,2021-02-10,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_11.pdf,34
12,Senado de la República,2021-02-10,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_12.pdf,20
13,Senado de la República,2021-02-10,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_13.pdf,5
14,Senado de la República,2021-02-11,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_14.pdf,15
15,Senado de la República,2021-02-11,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_15.pdf,34
16,Senado de la República,2021-02-11,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_16.pdf,11
17,Cámara de Representantes,2021-02-11,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_17.pdf,88
18,Cámara de Representantes,2021-02-11,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_18.pdf,23
19,Cámara de Representantes,2021-02-11,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_19.pdf,53
20,Senado de la República,2021-02-12,70,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_20.pdf,190
21,Senado de la República,2021-02-12,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_21.pdf,253
22,Senado de la República,2021-02-12,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_22.pdf,80
23,Senado de la República,2021-02-12,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_23.pdf,83
24,Senado de la República,2021-02-12,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_24.pdf,58
25,Senado de la República,2021-02-12,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_25.pdf,66
26,Senado de la República,2021-02-12,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_26.pdf,105
27,Senado de la República,2021-02-15,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_27.pdf,3
28,Cámara de Representantes,2021-02-15,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_28.pdf,9
29,Cámara de Representantes,2021-02-15,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_29.pdf,55
30,Cámara de Representantes,2021-02-15,69,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_30.pdf,34
31,Cámara de Representantes,2021-02-15,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_31.pdf,29
32,Cámara de Representantes,2021-02-15,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_32.pdf,55
33,Cámara de Representantes,2021-02-15,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_33.pdf,78
34,Cámara de Representantes,2021-02-15,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_34.pdf,46
35,Cámara de Representantes,2021-02-15,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_35.pdf,29
36,Senado de la República,2021-02-16,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_36.pdf,11
37,Cámara de Representantes,2021-02-16,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_37.pdf,16
38,Cámara de Representantes,2021-02-16,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_38.pdf,22
39,Cámara de Representantes,2021-02-17,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_39.pdf,261
40,Cámara de Representantes,2021-02-17,68,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_40.pdf,30
41,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_41.pdf,42
42,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_42.pdf,42
43,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_43.pdf,27
44,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_44.pdf,41
45,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_45.pdf,35
46,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_46.pdf,45
47,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_47.pdf,25
48,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_48.pdf,32
49,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_49.pdf,45
50,Cámara de Representantes,2021-02-17,67,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_50.pdf,17
51,Cámara de Representantes,2021-02-17,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_51.pdf,28
52,Cámara de Representantes,2021-02-17,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_52.pdf,16
53,Cámara de Representantes,2021-02-17,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_53.pdf,31
54,Cámara de Representantes,2021-02-17,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_54.pdf,38
55,Cámara de Representantes,2021-02-17,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_55.pdf,33
56,Cámara de Representantes,2021-02-17,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_56.pdf,26
57,Senado de la República,2021-02-18,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_57.pdf,69
58,Senado de la República,2021-02-18,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_58.pdf,38
59,Senado de la República,2021-02-18,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_59.pdf,10
60,Senado de la República,2021-02-18,66,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_60.pdf,19
61,Senado de la República,2021-02-22,65,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_61.pdf,25
62,Senado de la República,2021-02-22,65,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_62.pdf,26
63,Senado de la República,2021-02-22,65,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_63.pdf,27
64,Senado de la República,2021-02-22,65,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_64.pdf,32
65,Cámara de Representantes,2021-02-22,65,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_65.pdf,25
66,Cámara de Representantes,2021-02-22,65,http://s3-us-west-1.amazonaws.com/gacetas/gaceta_66.pdf,29
